id,brand,discount,discount_numeric,discount_type,ongoing_discount,min_spend,coupon,category,validity,validity_code,valid_days,title,url,image,description
teaser-a59fc21f2e,B.unique,10% הנחה,10,percent,,,MASTERCARDAY,אופנה ולייף סטייל,10 בחודש בלבד,only_10th,[10],10% הנחה על כל הנעליים והתיקים באתר ובחנויות B.unique,https://did.li/GRZlC,https://www.mastercard.com/content/dam/mccom/eu/israel/mastercard-day/B.unique.png,"תקף באתר ובחנויות כולל כפל מבצעים, לא כולל כפל קופונים. תקף ב-10 בחודש בלבד. מתן ההטבה וטיב המוצרים ו\או השירותים באחריות בית העסק בלבד. בכפוף לתקנון המלא. קוד קופון: MASTERCARDAY לתקנון"
teaser-a3948a5bad,KSP,10% הנחה,10,percent,,,MASTERCARDAY,חשמל וטכנולוגיה,10 בחודש בלבד,only_10th,[10],10% הנחה על מוצרי קמפינג וגינון באתר KSP,https://ksp.co.il/link/MASTERCARD,https://www.mastercard.com/content/dam/mccom/eu/israel/mastercard-day/KSP%20SEP.png,תקף על המוצרים המופיעים בעמוד הייעודי. תקף ב-10 בחודש כולל כפל הנחות. בכפוף לתקנון המלא. קוד קופון: MASTERCARDAY לתקנון
teaser-389c3ef0ca,Last Price,אקסטרה 10% הנחה,10,percent,,,MASTERCARDAY,חשמל וטכנולוגיה,10 בחודש בלבד,only_10th,[10],10% אקסטרה הנחת קופון על אלפי פריטים נבחרים באתר Last Price,https://www.lastprice.co.il/Category.asp?campaignid=5825,https://www.mastercard.com/content/dam/mccom/eu/israel/mastercard-day/last-price-promo-image_1280x720.jpg,תקף ב-10 בחודש בלבד. 10% אקסטרה הנחת קופון מהמחיר המוצג באתר על פריטים נבחרים הנושאים את מדבקת המבצע. בכפוף לתקנון המלא באתר מאסטרקארד דיי. קוד קופון: MASTERCARDAY לתקנון
teaser-c9bfd24c6c,Lenovo,10% הנחה,10,percent,,,MASTERCARDAY,חשמל וטכנולוגיה,10-13 בחודש,date_range,"[10, 11, 12, 13]",מחירים מיוחדים + 10% הנחה נוספים באתר Lenovo,https://www.lytrade.co.il/page/mastercard,https://www.mastercard.com/content/dam/mccom/eu/israel/mastercard-day/lenovo-promo-image_1280x720.jpg,על מוצרים נבחרים בלבד המופיעים בקטגוריית Mastercard. בהזנת קוד קופון MASTERCARDAY​. תקף ב-10-13 לכל חודש ובכפוף לתקנון המלא. קוד קופון: MASTERCARDAY לתקנון
teaser-7d781b793d,Nintendo,10% הנחה,10,percent,,,MASTERCARDAY,חשמל וטכנולוגיה,10 בחודש בלבד,only_10th,[10],10% הנחה על כל אתר Nintendo,https://www.nintendo.co.il/,https://www.mastercard.com/content/dam/mccom/eu/israel/mastercard-day/Nintendo3.png,"תקף ב-10 לחודש באתר הישראלי הרשמי בלבד ולרכושים בכרטיס מאסטרקארד, כולל כפל מבצעים (ללא כפל קופונים והנחות), בכפוף לתקנון המלא קוד קופון: MASTERCARDAY לתקנון"
teaser-6689118ee3,Walla Shops,10% הנחה,10,percent,,,MASTERCARDAY,חשמל וטכנולוגיה,9-11 בחודש,date_range,"[9, 10, 11]",10% הנחה על מגוון* מוצרים באתר Walla Shops,https://www.wallashops.co.il/,https://www.mastercard.com/content/dam/mccom/eu/israel/mastercard-day/walla-shop-promo-image_1280x720.jpg,תקף ב-9-11 בחודש בלבד. תקף על המוצרים המשתתפים בלבד בכפוף לתקנון המלא. התמונה להמחשה בלבד. קוד קופון: MASTERCARDAY לתקנון
teaser-53885ea537,Yellow,2 יח' ב-₪10,10,special_price,,,MASTERCARDAY,קולינריה ומסעדות,10 בחודש בלבד,only_10th,[10],2 יח’ טוויסטר ב- 10 ₪ בלבד באפליקציית Yellow,https://yellow.onelink.me/HpLh/aijxulmd,https://www.mastercard.com/content/dam/mccom/eu/israel/mastercard-day/Yellow%20Sep%20%20.png,תקף באפליקציית Yellow >> פעולות >> יש לי קוד קופון >> מזינים את קוד הקופון MASTERCARDAY. ההטבה תקפה להזנה ב-10 בחודש בלבד וניתן לממשה בחנויות עד ה-16 בחודש או עד גמר המלאי לפי המוקדם מביניהם. מתן ההטבה וטיב המוצרים ו\או השירותים באחריות בית העסק בלבד. בכפוף לתקנון המלא. קוד קופון: MASTERCARDAY לתקנון
teaser-db27b7b3f7,rebar,₪10 הנחה,10,fixed_discount,,,MASTERCARDAY10,קולינריה ומסעדות,10 בחודש בלבד,only_10th,[10],₪10 הנחה בקניית משקה M לבחירתך בסניפי rebar,https://rebar.co.il/store/,https://www.mastercard.com/content/dam/mccom/eu/israel/mastercard-day/rebar-promo-image_1280x720.jpg,תקף למשלמים בכרטיס אשראי מאסטרקארד. תקף ב-10 בחודש בסניפי rebar בהזנת קוד קופון. ההטבה זמינה לחברי מועדון rebar בהזנת קוד קופון. בכפוף לפירוט התנאים המלאים בתקנון קוד קופון: MASTERCARDAY10 לתקנון
teaser-a98aed8c83,אופטיקנה,10% הנחה,10,percent,,,MASTERCARDAY,אופנה ולייף סטייל,10 בחודש בלבד,only_10th,[10],10% הנחה באתר אופטיקנה,https://www.opticana.co.il/עדשות-מגע?utm_source=mastercard&utm_medium=newsletter&utm_campaign=10off,https://www.mastercard.com/content/dam/mccom/eu/israel/mastercard-day/opticana-promo-image_1280x720.jpg,10% הנחה באתר אופטיקנה​. כולל כפל מבצעים. המבצע תקף ב-10 בחודש בלבד. בכפוף לתקנון המלא. קוד קופון: MASTERCARDAY לתקנון
teaser-d21838ccc5,AliExpress,$5 הנחה,5,fixed_discount,,35$,MASTERCARDAY,צרכנות ופנאי,10 בחודש בלבד,only_10th,[10],5$ הנחה לרוכשים ב35$ באתר AliExpress,https://www.aliexpress.com/?src=google&albch=shopping&acnt=179-224-6891&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=_oFgTQeV&gclsrc=aw.ds&albagn=888888&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_url_v=2&albcp=22970961524&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_source=1&gad_campaignid=23080270514&gclid=Cj0KCQjwmYzIBhC6ARIsAHA3IkTqGvIK-lF73iQY8w9lP9Y-AsTvONFbCwR9t0MpwtVgTE6-8d0phwAaAqtmEALw_wcB&gatewayAdapt=usa2glo,https://www.mastercard.com/content/dam/mccom/eu/israel/mastercard-day/may-2026/aliexpress-promo-image_1280x720.jpg,"מלאי קופונים מוגבל. תקף ב-10 בחודש בלבד החל מהשעה 10:00 בבוקר ועד חצות \ עד גמר המלאי, המוקדם מבניהם - מלאי הקופונים מתחלק בין שבת למוצאי שבת. תקף למשלמים בכרטיס אשראי מאסטרקארד בלבד. בכפוף לתנאים המלאים בתקנון. קוד קופון החל מ-10:00 בבוקר ועד 20:00: MASTERCARDAY קוד קופון החל מ-20:01 ועד 23:59: MASTERCARD לתקנון"
teaser-52e1302192,Booking.com,4% קאשבק,4,cashback,,,MASTERCARDAY,תיירות ונופש,כל החודש,all_month,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",4% קרדיט לארנק בהזמנת לינה באתר Booking,https://www.booking.com/index.html?aid=2321222,https://www.mastercard.com/content/dam/mccom/eu/israel/mastercard-day/booking_mday_1280x720.jpg,ההטבה תקפה למזמינים בלינק היעודי בלבד ובתשלום בכרטיס מאסטרקארד. ההטבה תקפה בכל ימות החודש. יש לעקוב אחר השלבים המופיעים בתקנון המלא על מנת להנות מההטבה. קוד קופון: MASTERCARDAY לתקנון
teaser-5324e3dfa5,EV-EDGE,הטבה בלעדית,0,special,,,MASTERCARDAY,חשמל וטכנולוגיה,10 בחודש בלבד,only_10th,[10],"10 קוט""ש מתנה לטעינה חשמלית ברשת EV-EDGE",https://play.google.com/store/apps/details?id=il.evedge.evedge,https://www.mastercard.com/content/dam/mccom/eu/israel/mastercard-day/evedge-promo-image_1280x720.jpg,"רוכשים חבילת טעינה ב10 בחודש בעלות 175 ש""ח באפליקציית EV-Edge ומקבלים בנוסף 10 קוט""ש במתנה למימוש בטעינה הבאה שלכם. בתוקף למשלמים בכרטיס מאסטרקארד בלבד. בכפוף לתקנון המלא באתר מאסטרקארד דיי. ט.ל.ח אופן המימוש: מפורט התקנון לתקנון"
